% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
178.5                                             0.008492771160501199                              0.001866027903006641-0.008285233964701391i
179                                               0.009185008934322277                              0.0015613330688068932-0.00905133295000411i
179.5                                             0.011656593449838814                              0.0013527906252417884-0.011577829173859971i
180                                               0.021961235803458306                              8.944126250202099E-4-0.021943014926652706i
180.5                                             0.02087200353755498                               -0.002336366927063702+0.0207408274004156i
181                                               0.013805632199850154                              0.0012471156544151493-0.013749188448124932i
181.5                                             0.004545785379237685                              -1.2329425983036946E-4-0.004544113031118833i
182                                               0.011814024449131958                              -0.0012061656436681187-0.011752290760729261i
182.5                                             2.6860296901797865E-4                             -4.6078709384513684E-5-2.646210639891139E-4i
183                                               0.0028026760646203863                             -4.8525800280471856E-4-0.002760347404568851i
183.5                                             0.0039054567214561377                             -8.919717599290186E-4-0.003802233367726928i
184                                               0.0048316321182657945                             -0.0014061909147601414-0.004622477261978002i
184.5                                             0.005342467857598673                              -0.0016816592213216809-0.005070895884636039i
185                                               0.008313028438052705                              -0.0033968027643835226-0.007587369293223407i
185.5                                             0.006243274819277041                              -0.002912698399671826-0.0055221977963097225i
186                                               0.007513930482848439                              -0.004058543703574197-0.006323557092907221i
186.5                                             0.008602843017930933                              -0.005315359476753021-0.0067643079190745645i
187                                               0.007485154819801676                              -0.0043081047711802005-0.006121092709388958i
187.5                                             0.011320436619673614                              -0.008838037860804341-0.007073992651327564i
188                                               0.012554448937872205                              -0.010792421506714464-0.006413877622394088i
188.5                                             0.013770380865171164                              -0.012781340073793683-0.005124522913394751i
189                                               0.014793087797304054                              -0.014462778166444826-0.0031086161369575666i
189.5                                             0.015435793319755843                              -0.015428232706505464-4.830641408076594E-4i
190                                               0.015484371419932447                              -0.015299283383930221+0.0023869826577956983i
190.5                                             0.014583723602837023                              -0.0137330435665382+0.004908004535807747i
191                                               0.011321130547616                                 -0.009712299544713037+0.005817150026424543i
191.5                                             0.021700746358066632                              0.0030799109007251992-0.02148107402670398i
192                                               0.03092786535532424                               -0.026892905013531424+0.015274308998126297i
192.5                                             0.025119416551953783                              -0.017529456531137355+0.017991754823627838i
193                                               0.03200651130532235                               -0.015320226206746794+0.028101733663812207i
193.5                                             0.00574399757026382                               -0.003175347163694939+0.004786510051928355i
194                                               0.011713597351941654                              -0.005696466078753647+0.010235166688287181i
194.5                                             0.013501206768527046                              -0.004769862567670101+0.012630557996068903i
195                                               0.010610873662577621                              -0.0022754994182357996+0.010364011881544326i
195.5                                             0.01037682545088659                               -0.009644306439606582+0.0038296030782746524i
